PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS 
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,% Unweighted ILI,% Weighted ILI 
2015,40,2868,3753,2059,X,899,626,10205,814503,1974,1.25291128455021,1.24440115523456
2015,41,3014,4001,2094,X,910,678,10697,809033,1984,1.322195757157,1.31166799667497
2015,42,3261,4360,2357,X,951,653,11582,827238,2004,1.4000807506425,1.36704630926852
2015,43,3138,4147,2255,X,926,693,11159,821596,2009,1.35821011786815,1.37872125322582
2015,44,3592,4798,2458,X,937,694,12479,848307,2058,1.47104762780456,1.44663815311989
2015,45,3753,4729,2513,X,943,742,12680,826121,2035,1.53488411503884,1.51435220206051
2015,46,3961,5078,2659,X,1025,769,13492,838073,2031,1.60988362588939,1.60549231768942
2015,47,3972,4066,2427,X,981,703,12149,638819,2007,1.90179064805524,1.91027562557705
2015,48,4467,5076,3009,X,1232,829,14613,840747,2048,1.73809719213985,1.68952741818161
2015,49,4586,5379,2902,X,1252,873,14992,823133,2028,1.82133385491774,1.79135607696745
2015,50,5137,5105,2963,X,1252,943,15400,781499,2008,1.9705719393115,1.8828393102888
2015,51,5366,4307,2874,X,1252,1006,14805,611577,1987,2.42079084072815,2.32898627314962
2015,52,5697,4007,3263,X,1521,1178,15666,649067,1959,2.41361831675312,2.42149179620481
2016,1,4775,4490,3595,X,1631,1158,15649,784961,2012,1.9936022299197,1.9519970112697
2016,2,4573,5360,3179,X,1379,1022,15513,778814,2014,1.99187482505451,2.00295347514832
2016,3,4768,5359,3212,X,1292,951,15582,739416,2009,2.10733876464669,2.12476963477817
2016,4,5088,6881,3614,X,1552,1007,18142,830449,2037,2.1846013421655,2.24537230273278
2016,5,5134,7352,3760,X,1625,1071,18942,821988,2014,2.30441320311245,2.38389545532057
2016,6,5641,8425,4595,X,1916,1176,21753,811775,2001,2.67968340981183,2.81135341008208
2016,7,6001,9319,5632,X,2342,1363,24657,827769,1997,2.97872957310554,3.13597075352668
2016,8,6301,10142,5996,X,2611,1389,26439,847274,1958,3.1204781452045,3.16086918357921
2016,9,6557,11357,6368,X,2590,1432,28304,850930,1948,3.32624305171988,3.33269720675446
2016,10,6652,11839,7339,X,2973,1617,30420,846521,1921,3.59353164304252,3.55721916101914
2016,11,5569,9324,6017,X,2489,1465,24864,802981,1897,3.09646180918353,3.06023937237129
2016,12,5182,8482,4970,X,1997,1277,21908,785099,1900,2.79047610556121,2.77035761996918
2016,13,4569,7377,4465,X,1948,1195,19554,774051,1832,2.52619013475856,2.44030868243179
2016,14,3711,6381,3858,X,1655,1129,16734,789125,1813,2.12057658799303,2.02370410059568
2016,15,3570,6602,3521,X,1536,1036,16265,792539,1808,2.05226493585805,1.98333994322123
2016,16,3514,6390,3240,X,1374,941,15459,773961,1775,1.99738746525988,1.91625272065564
2016,17,3158,5562,2983,X,1237,898,13838,776198,1760,1.78279253489445,1.69979734176367
2016,18,2769,4724,2586,X,1036,745,11860,739287,1743,1.60424841773222,1.5758104318182
2016,19,2861,4042,2278,X,848,664,10693,729187,1689,1.46642767904529,1.3691859389453
2016,20,2681,3622,1995,X,839,643,9780,686344,1625,1.4249414287879,1.29910840711631
2016,21,2606,3122,1710,X,717,618,8773,633228,1436,1.38544094702066,1.18694088776312
2016,22,2543,2618,1636,X,663,532,7992,595757,1480,1.34148654568893,1.14537560347109
2016,23,2293,2313,1460,X,617,518,7201,629434,1444,1.14404369640026,1.05086812429232
2016,24,2189,2169,1352,X,588,466,6764,614665,1439,1.10043682331026,0.977529176009447
2016,25,2062,1904,1178,X,493,386,6023,600364,1400,1.00322471034239,0.866987967643041
2016,26,1873,1810,1145,X,472,384,5684,570772,1379,0.995844225014542,0.837187098191406
2016,27,1648,1648,986,X,463,383,5128,550784,1383,0.931036486172438,0.787578194001192
2016,28,1609,1599,1064,X,422,383,5077,599707,1389,0.846580079939037,0.736880746995453
2016,29,1670,1617,991,X,384,375,5037,596183,1384,0.844874811928552,0.704597981159143
2016,30,1579,1624,1035,X,362,323,4923,590519,1392,0.833673429644093,0.726978190413348
2016,31,1454,1494,969,X,358,315,4590,577603,1356,0.79466346262052,0.668299067537076
2016,32,1513,1633,1017,X,382,319,4864,582344,1328,0.83524514719822,0.695724348833711
2016,33,1655,1924,1035,X,374,307,5295,616196,1350,0.859304507007511,0.713890090710822
2016,34,1844,2360,1232,X,465,349,6250,619156,1357,1.0094386552016,0.837037617491111
2016,35,1811,2636,1241,X,455,340,6483,609805,1353,1.06312673723567,0.998704642080194
2016,36,1880,2590,1281,X,471,381,6603,597795,1348,1.10455925526309,1.01943035768659
2016,37,2022,3056,1505,X,579,451,7613,662507,1366,1.14911993382711,1.07555726915579
2016,38,2344,3285,1547,X,615,439,8230,673607,1365,1.22178065251697,1.10611978448046
2016,39,2426,3329,1651,X,634,484,8524,651469,1395,1.3084275690785,1.18794083641112
